	log2FC	FDR
YKR033C	0.097843484	
YOR378W	-0.261241987	0.354403205
YDL164C	-0.2399817	0.082772797
YMR302C	-0.14544471	0.134090643
YGR284C	0.078862903	0.575490678
YNL109W	-0.12770166	0.865237289
YAL021C	-0.01782103	0.937045551
YHR151C	-0.112975154	0.494644268
YMR227C	-0.127174487	0.390784526
YBR089W	0.280026737	0.800009646
YHR174W	0.066929817	0.693885291
YBR214W	0.071520405	0.734638252
YDL158C	0.096069065	0.791611198
YGL062W	0.513982913	2.18e-16
YPL093W	0.020505425	0.881116791
YJL160C	0.29540588	0.178721362
YOR167C	0.115582774	0.787190635
YML129C	-0.023174678	0.949359357
YBL030C	-0.282200988	0.000313055
YPL012W	-0.054959733	0.769578134
YFL011W	2.180999264	1.6300000000000001e-21
YLR341W	-0.313742926	0.206636919
YDR262W	0.19971468	0.080815245
YLR053C	0.500931848	0.010363088
YAR070C	0.894232871	
YMR115W	0.119233364	0.286623037
YDR238C	-0.131589387	0.202696991
YDR528W	-0.396877684	0.307558098
YDR227W	-0.120110555	0.575490678
YJR087W	0.22007239	0.495479102
YOL080C	0.037049568	0.89077488
YJL188C	0.2320606	0.301487553
YMR118C	0.478067981	3.39e-05
YOL066C	-0.280505572	0.038112428
YOR041C	0.122705027	0.948719139
YGR112W	-0.086364423	0.609610324
YDL044C	0.030142866	0.868232553
YJR074W	-0.127652907	0.485533744
snR65	0.283422342	0.820012926
YPR002C-A	0.151802394	0.817578131
YGR138C	-0.844971654	3.39e-05
YER101C	-0.106922839	0.540952218
YIL082W-A	-0.201808975	0.29971871
YBL020W	-0.213155604	0.116701588
YOR130C	0.030619783	0.88626399
YGL148W	-0.149673765	0.151650881
YLR156W		
YDR516C	0.041537131	0.804442465
YIL101C	-0.00642112	0.984477947
YLR054C	0.299947338	0.073379795
YIL027C	0.121702669	0.593232268
snR49	0.165376512	0.771472109
YLR055C	-0.046569999	0.848667591
YNL242W	-0.553321489	5.11e-13
YIL170W	-0.144658497	0.811936997
YBL083C	0.274345846	0.766841897
tY(GUA)O	-0.650640604	
tR(UCU)G3	0.199297606	0.920694494
YBR256C	0.192869808	0.271736969
YMR116C	0.068208428	0.764712979
YPL095C	-0.049218808	0.770170988
YDR197W	0.040560967	0.816098907
YPL101W	-0.133345229	0.433483992
YNL127W	0.011685698	0.944280407
YLR024C	-0.086457365	0.535979867
YLR247C	-0.08576174	0.525489453
YGR078C	0.066724662	0.762127808
YJR033C	-0.211701972	0.059619579
tY(GUA)J1	0.835763498	
YCR011C	0.059004579	0.599415921
YPL135W	0.243218027	0.11707611
tL(UAA)B2	-1.946327844	
YBR095C	-0.008553896	0.967959996
snR42	-0.10191361	0.801591718
YAL022C	-0.052802366	0.78512545
YDR281C	-0.449027918	0.031412059
YDR220C	0.388860781	0.829503795
YPL059W	0.060673006	0.771472109
YDL229W	-0.033515156	0.856880053
snR9	0.158503789	0.543636064
YGR067C	0.246593397	0.234854752
YIL045W	0.373517007	0.004122879
YLR097C	0.123646214	0.411676728
YPL060C-A	-0.169648314	0.911699075
YKR057W	0.087493305	0.811936997
YGL091C	-0.100189763	0.572545414
YHR073W-A		
YOR016C	0.036881856	0.845222236
YJR162C		
YHR018C	-0.328508492	0.000281308
YBR274W	0.027433095	0.876237545
YGR060W	-0.068171234	0.685844986
YOR252W	0.189008637	0.286674184
YJR089W	-0.093677205	0.513537443
YGR005C	0.123198045	0.356936335
YPR076W	-1.36447572	0.336089833
YML108W	0.134533204	0.539703303
YBR273C	-0.090120299	0.513301169
YLR212C	0.05901396	0.778268322
YKL043W	0.287927103	0.127517922
YBR089C-A	0.118393265	0.717809387
YLR159W		
YIL103W	0.151648905	0.112809712
YDR188W	0.025210713	0.854785131
YLR448W	-0.043775367	0.848461688
YML086C	-0.172742233	0.080247805
YDR034W-B	0.02831515	0.95842574
YNL178W	0.073832553	0.879032362
YER024W	0.338768616	0.002067723
YKL096C-B	0.821698801	0.326826763
YNL338W	-0.622310381	
YBL105C	-0.023518746	0.856099616
YPL194W	-0.269663702	0.085314091
YPL117C	0.150443535	0.18108525
YDR216W	-0.358221767	8.02e-06
YHR165W-A	-0.89665748	0.638836107
YMR269W	0.19575472	0.308158602
YHR084W	-0.258140086	0.152901225
tP(UGG)N1	-0.910495533	
YGR019W	0.075413366	0.638541302
YFL047W	-0.103314065	0.525489453
