	log2FC	FDR
YER007W	0.084517796	0.625656253
YGR020C	0.058230652	0.857382766
YPL149W	0.213369178	0.0285476
YDL242W	-0.089018622	0.866440598
YCR073C	-0.020455079	0.89621652
YDR453C	0.11523786	0.603764973
YJL031C	-0.031833924	0.87774565
YHR212W-A		
YLR290C	0.085618357	0.608342888
YOR343C	-0.743513409	0.036911218
YDR282C	0.047730793	0.78512545
YMR121C	0.029060931	0.897373858
YLR357W	-0.196118222	0.336992368
YDR233C	-0.017615552	0.918132631
YPL152W	0.155626137	0.275336408
YDR294C	-0.091251857	0.434360112
YGR203W	-0.076551951	0.772735584
YHR007C-A	-0.229606996	0.550416113
Q0160		
YER175W-A	-0.472972164	0.274814674
YMR002W	0.010425356	0.962762632
YDL181W	-0.154177625	0.415454544
YDR534C	0.270752534	0.44311246
tS(AGA)D2	0.479565353	0.837123785
YIL100W	-0.690931899	0.630608391
YPL183W-A	0.02196345	0.931808324
YAL009W	0.049841163	0.827492163
YMR005W	-0.043391765	0.778268322
YDR496C	0.143096692	0.070331813
YCL026C-A	0.283287007	0.415282406
YBR013C	-0.056406609	0.856099616
YMR306W	-0.154481966	0.324696022
YMR205C	0.032659738	0.793278999
YDR375C	-0.070172787	0.597363593
YMR175W-A	0.774534753	0.117855714
YNL339C	0.820362139	
YDL228C	-0.047060605	0.944276933
YMR068W	-0.346102336	0.039053288
YKL164C	-0.02356002	0.866440598
YLR106C	0.148732445	0.177108798
YPR043W	0.169756133	0.918132631
YEL015W	-0.060061719	0.640670985
YBR185C	-0.019607243	0.910082925
YML100W	-0.208317001	0.220481693
YHR086W	-0.10819608	0.372761322
YCL033C	0.15326451	0.437670287
YJL110C	-0.176429678	0.458760658
YHR110W	0.160216137	0.24963376
YNL057W	-0.227662857	0.821991263
YJL184W	0.105108756	0.607662971
YNL295W	-0.145425676	0.363121299
YKL001C	0.078119782	0.712429947
YOR322C	-0.06817342	0.766960727
YLR137W	-0.107113243	0.664038399
YPL084W	-0.238460087	0.030817208
YKL211C	-0.191558563	0.107713213
YKL162C-A	0.2300806	0.587071739
YMR086C-A	-0.06621952	0.868721935
YOR121C	-0.113657253	0.804496084
YPR159C-A	1.228029721	0.547533372
YBR085W	0.770791126	0.0070085
ITS1-2		
YDR034C-A	0.886227534	0.382887251
YGR146C	-0.08404759	0.591927675
YDR322C-A	-0.182460604	0.540553681
YNL092W	-0.194616657	0.430871167
snR77	0.184263444	0.86703857
YDR379W	-0.19982007	0.041331713
YGL137W	-0.050850232	0.633070004
YLR201C	0.087267165	0.589814518
YBR164C	0.085551473	0.646496017
YBR220C	-0.264708145	0.092054336
YER143W	0.065908263	0.645265601
YFL020C	-0.59149353	0.150043463
YJL165C	-0.290549788	0.000133246
YMR096W	0.169521334	0.34544757
YDL195W	-0.115748364	0.494555525
YCL010C	-0.002819879	0.99308391
YPR008W	-0.33939953	0.000313055
YDR120C	0.011442311	0.958335214
YKL109W	0.050562924	0.778599213
YIL068C	-0.093425376	0.498820905
YDR518W	0.230881201	0.011048597
tW(CCA)M	0.099028607	
YOR223W	-0.053575407	0.798127494
YLR228C	0.164059531	0.393649536
YML037C	-0.403707201	0.247235843
YJL176C	-0.017046998	0.920421041
YEL013W	0.097900945	0.465545821
YOL110W	-0.162832718	0.409750044
YNL113W	0.088797196	0.75460091
YGR023W	-0.231772086	0.065208006
YDR525W-A	0.190370112	0.394834777
YOR360C	-0.055904632	0.714908575
YLR430W	-0.061333758	0.724769364
YDR280W	0.050693185	0.737513485
YGL175C	-0.347642069	0.394834777
YOR169C	-0.092506557	0.876056797
YDR525W	0.231417768	0.908666696
tD(GUC)L1		
YBR274W	0.027433095	0.876237545
YBR168W	0.13035722	0.378082314
YHR219W		
YMR083W	-0.020569015	0.886925771
